session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,has_rated
session_000116,user_00503,movie_0334,2024-08-29,Mobile,35.5,21.4,paused,HD,USA,True,0
session_000118,user_09063,movie_0642,2024-08-22,Mobile,72.2,96.3,completed,4K,Canada,False,1
session_000122,user_05135,movie_0629,2024-05-28,Mobile,51.2,5.6,paused,HD,USA,False,0
session_000123,user_05978,movie_0563,2024-11-02,Tablet,12.7,48.1,paused,Ultra HD,Canada,False,0
session_000124,user_07722,movie_0678,2024-11-09,Smart TV,22.4,38.1,started,4K,Canada,False,0
session_000125,user_07036,movie_0885,2024-05-21,Mobile,35.6,96.3,stopped,HD,USA,False,0
session_000126,user_01485,movie_0019,2024-05-20,Laptop,137.1,59.3,completed,Ultra HD,USA,False,0
session_000129,user_02791,movie_0497,2024-10-26,Laptop,23.5,64.5,stopped,4K,USA,False,0
session_000130,user_07409,movie_0074,2024-11-23,Smart TV,70.6,79.1,stopped,Ultra HD,USA,False,0
session_000131,user_08756,movie_0991,2024-12-11,Mobile,49.7,75.4,paused,HD,USA,True,1
session_000133,user_06020,movie_0653,2024-01-21,Smart TV,57.9,63.9,completed,HD,USA,False,0
session_000134,user_01758,movie_0923,2025-12-20,Desktop,37.3,83.9,completed,HD,USA,False,0
session_000135,user_07575,movie_0430,2024-01-18,Smart TV,195.1,56.8,paused,HD,USA,False,1
session_000137,user_06893,movie_0147,2025-07-26,Mobile,58.4,21.0,stopped,4K,USA,False,0
session_000138,user_01679,movie_0485,2024-08-30,Laptop,4.4,98.6,stopped,HD,USA,False,1
session_000139,user_03243,movie_0425,2024-04-11,Tablet,47.3,11.9,stopped,4K,USA,False,0
session_000140,user_04637,movie_0271,2025-04-18,Laptop,51.2,37.0,paused,HD,USA,True,0
session_000142,user_06669,movie_0620,2025-08-30,Tablet,188.5,98.8,stopped,HD,USA,False,0
session_000143,user_09915,movie_0356,2025-04-01,Tablet,26.6,2.9,stopped,HD,Canada,True,0
session_000144,user_03158,movie_0796,2024-04-23,Mobile,51.2,72.0,paused,HD,Canada,True,0
session_000146,user_09790,movie_0801,2024-11-16,Mobile,38.2,83.1,paused,HD,USA,False,0
session_000147,user_02694,movie_0812,2025-10-24,Smart TV,30.6,17.9,started,4K,USA,False,0
session_000148,user_03628,movie_0055,2025-05-28,Desktop,156.0,42.7,paused,SD,USA,False,0
session_000149,user_09556,movie_0121,2024-06-04,Desktop,15.7,19.2,stopped,SD,USA,True,1
session_000150,user_05451,movie_0342,2025-08-24,Tablet,48.6,48.3,paused,HD,Canada,False,1
session_000151,user_01664,movie_0905,2024-11-14,Tablet,4.6,73.3,started,SD,Canada,True,0
session_000153,user_05593,movie_0198,2024-12-14,Mobile,43.5,28.6,stopped,HD,Canada,False,0
session_000154,user_07393,movie_0642,2025-09-25,Mobile,33.2,91.8,started,HD,USA,False,0
session_000155,user_01307,movie_0491,2025-07-17,Mobile,51.5,49.8,completed,Ultra HD,USA,False,0
session_000156,user_06777,movie_0171,2025-10-06,Desktop,86.3,87.5,completed,SD,USA,False,0
session_000159,user_07527,movie_0279,2025-11-05,Laptop,99.6,13.4,completed,SD,USA,False,0
session_000160,user_08902,movie_0572,2024-11-03,Tablet,43.7,9.7,started,SD,Canada,False,0
session_000161,user_05576,movie_0902,2025-10-15,Tablet,175.2,30.5,completed,4K,Canada,False,0
session_000163,user_04414,movie_0321,2025-09-13,Desktop,51.2,67.4,paused,HD,Canada,False,1
session_000164,user_03749,movie_0355,2024-12-18,Mobile,30.3,98.2,started,4K,USA,False,0
session_000165,user_00664,movie_0383,2025-03-18,Desktop,82.4,89.4,completed,HD,USA,False,1
session_000167,user_07995,movie_0353,2025-02-05,Laptop,51.2,38.1,paused,HD,Canada,False,0
session_000168,user_01496,movie_0794,2024-02-09,Tablet,98.5,48.2,started,Ultra HD,USA,False,0
session_000169,user_03305,movie_0985,2025-05-29,Desktop,82.4,89.9,stopped,SD,USA,False,1
session_000170,user_03764,movie_0781,2024-11-02,Tablet,17.6,68.6,paused,HD,Canada,True,0
session_000171,user_05233,movie_0081,2024-09-26,Smart TV,59.3,50.1,completed,HD,USA,False,0
session_000173,user_06586,movie_0127,2024-05-31,Mobile,7.8,1.3,stopped,HD,USA,True,0
session_000175,user_03582,movie_0158,2025-01-08,Desktop,63.0,50.3,completed,HD,USA,False,1
session_000177,user_07281,movie_0836,2024-09-16,Laptop,10.8,74.1,paused,4K,USA,False,0
session_000178,user_01637,movie_0205,2024-07-20,Tablet,92.4,50.7,completed,HD,USA,False,1
session_000180,user_00699,movie_0465,2024-12-15,Tablet,23.0,98.1,stopped,SD,USA,True,0
session_000181,user_04738,movie_0151,2024-11-11,Desktop,62.2,17.1,paused,4K,USA,True,0
session_000182,user_00855,movie_0029,2025-08-18,Mobile,92.9,4.2,paused,4K,Canada,True,1
session_000184,user_05856,movie_0057,2025-02-09,Tablet,51.2,49.8,paused,HD,USA,True,0
session_000185,user_07393,movie_0825,2025-04-13,Desktop,73.9,21.2,paused,HD,USA,False,0
session_000191,user_09926,movie_0849,2024-12-02,Desktop,132.1,28.4,paused,4K,Canada,False,0
session_000192,user_05536,movie_0590,2025-10-30,Desktop,27.5,58.1,paused,4K,USA,False,1
session_000193,user_04932,movie_0719,2024-01-07,Desktop,55.5,61.0,started,4K,Canada,True,0
session_000194,user_03511,movie_0602,2024-12-07,Desktop,28.0,32.9,completed,4K,Canada,False,0
session_000195,user_00203,movie_0738,2025-06-08,Smart TV,42.7,34.0,stopped,4K,USA,True,0
session_000196,user_04219,movie_0963,2025-10-12,Smart TV,170.3,66.8,completed,4K,USA,False,0
session_000198,user_04390,movie_0485,2024-12-11,Laptop,41.1,78.8,completed,HD,Canada,False,0
session_000201,user_02932,movie_0807,2025-12-09,Laptop,16.9,88.0,completed,SD,USA,False,0
session_000204,user_07126,movie_0101,2025-01-20,Desktop,133.9,56.8,paused,4K,USA,False,1
session_000208,user_09340,movie_0847,2025-09-17,Smart TV,51.2,85.4,started,4K,USA,True,0
session_000210,user_02512,movie_0212,2025-04-08,Tablet,68.3,1.5,paused,HD,USA,True,0
session_000211,user_09987,movie_0421,2025-01-06,Desktop,22.5,0.7,started,HD,USA,False,0
session_000212,user_00660,movie_0216,2024-12-02,Smart TV,52.3,11.2,stopped,HD,Canada,True,0
session_000213,user_02812,movie_0974,2025-12-25,Mobile,115.9,39.4,completed,Ultra HD,Canada,False,0
session_000216,user_09562,movie_0739,2024-05-01,Desktop,128.8,24.7,stopped,4K,USA,False,0
session_000217,user_01987,movie_0791,2024-07-17,Smart TV,25.4,49.8,paused,SD,Canada,False,0
session_000218,user_08339,movie_0929,2025-05-12,Desktop,62.7,79.3,stopped,4K,Canada,False,0
session_000220,user_01735,movie_0764,2024-05-23,Mobile,34.9,49.8,completed,4K,Canada,False,0
session_000221,user_01844,movie_0205,2024-03-29,Desktop,51.2,60.6,stopped,HD,USA,True,1
session_000222,user_08681,movie_0670,2025-02-21,Mobile,198.8,44.4,started,4K,USA,False,0
session_000223,user_02977,movie_0957,2024-10-05,Tablet,48.9,27.8,stopped,4K,USA,False,0
session_000225,user_05760,movie_0587,2025-05-02,Laptop,46.5,13.2,paused,HD,USA,False,0
session_000226,user_06695,movie_0997,2025-11-13,Tablet,31.2,74.0,paused,HD,Canada,False,0
session_000227,user_02386,movie_0396,2025-07-01,Tablet,330.6,39.0,completed,HD,USA,True,0
session_000228,user_04737,movie_0594,2024-08-03,Laptop,125.9,45.3,paused,SD,Canada,False,0
session_000229,user_01803,movie_0980,2024-09-23,Mobile,51.2,32.7,paused,HD,Canada,True,0
session_000230,user_08156,movie_0305,2025-05-28,Smart TV,22.8,11.7,started,HD,Canada,False,0
session_000231,user_08121,movie_0333,2024-08-15,Laptop,23.5,7.6,stopped,HD,Canada,False,1
session_000233,user_05535,movie_0778,2025-08-20,Tablet,51.2,49.8,paused,SD,Canada,False,0
session_000238,user_09209,movie_0516,2024-07-05,Desktop,51.2,26.0,stopped,HD,Canada,False,1
session_000240,user_05424,movie_0873,2024-09-14,Desktop,28.3,82.6,started,HD,Canada,False,0
session_000241,user_04549,movie_0677,2024-01-15,Desktop,84.3,70.2,completed,SD,USA,False,0
session_000242,user_03109,movie_0746,2025-12-18,Smart TV,99.4,52.7,paused,SD,USA,False,0
session_000244,user_07401,movie_0884,2025-05-06,Tablet,104.3,49.8,completed,HD,Canada,False,1
session_000245,user_03171,movie_0965,2025-09-29,Mobile,54.3,14.7,stopped,4K,Canada,True,1
session_000248,user_01155,movie_0729,2024-01-25,Tablet,23.5,43.5,paused,4K,USA,False,0
session_000254,user_05540,movie_0487,2024-12-26,Desktop,60.1,90.3,stopped,SD,USA,True,0
session_000256,user_04200,movie_0462,2024-05-13,Desktop,51.2,92.3,completed,HD,USA,False,0
session_000257,user_08446,movie_0150,2025-09-03,Smart TV,21.5,49.8,stopped,HD,USA,False,0
session_000258,user_02558,movie_0728,2024-05-03,Tablet,7.0,83.4,stopped,Ultra HD,USA,False,0
session_000259,user_05593,movie_0460,2024-07-19,Laptop,73.5,26.2,completed,SD,USA,True,0
session_000260,user_00099,movie_0724,2024-02-24,Tablet,86.9,16.0,completed,4K,USA,False,0
session_000261,user_02201,movie_0240,2024-10-28,Smart TV,80.2,49.8,stopped,HD,Canada,False,0
session_000262,user_02962,movie_0988,2025-08-29,Desktop,89.5,97.1,started,4K,USA,False,0
session_000264,user_04434,movie_0971,2024-10-08,Desktop,38.8,80.6,stopped,HD,USA,False,0
session_000265,user_02870,movie_0214,2024-05-02,Mobile,59.7,96.7,completed,HD,Canada,False,0
session_000266,user_00957,movie_0882,2025-03-02,Mobile,18.7,6.2,completed,HD,Canada,False,0
session_000267,user_08353,movie_0353,2025-05-11,Tablet,33.5,58.3,paused,HD,USA,False,0
session_000268,user_05700,movie_0954,2024-08-22,Smart TV,20.4,48.2,stopped,4K,USA,False,0
session_000269,user_06945,movie_0974,2025-01-20,Laptop,51.2,57.1,stopped,4K,USA,False,1
session_000270,user_04494,movie_0973,2024-10-08,Tablet,45.8,11.4,started,4K,USA,False,0
session_000271,user_09493,movie_0665,2024-10-24,Desktop,117.3,33.3,paused,4K,USA,False,0
session_000272,user_04912,movie_1000,2025-06-14,Mobile,51.2,49.8,completed,HD,Canada,False,1
session_000273,user_03988,movie_0720,2024-05-13,Smart TV,75.8,0.4,started,4K,USA,False,0
session_000274,user_09720,movie_0990,2024-12-14,Desktop,115.6,15.1,paused,HD,USA,False,0
session_000275,user_06016,movie_0257,2024-12-07,Desktop,39.1,21.5,stopped,4K,USA,False,0
session_000276,user_01219,movie_0540,2025-07-08,Tablet,68.3,5.9,stopped,HD,Canada,False,0
session_000277,user_04497,movie_0735,2025-12-18,Mobile,64.4,43.8,stopped,SD,USA,True,0
session_000280,user_09147,movie_0365,2025-11-06,Smart TV,27.5,77.3,paused,4K,USA,False,0
session_000281,user_08051,movie_0114,2025-09-30,Mobile,51.3,82.6,paused,SD,USA,True,0
session_000282,user_03447,movie_0962,2024-02-05,Smart TV,108.6,60.4,paused,Ultra HD,USA,False,0
session_000283,user_01046,movie_0311,2024-12-27,Tablet,52.3,39.6,completed,4K,USA,True,0
session_000284,user_06894,movie_0618,2024-05-21,Mobile,51.2,74.5,started,4K,Canada,False,0
session_000285,user_01694,movie_0357,2025-09-03,Laptop,62.3,49.8,stopped,HD,Canada,True,0
session_000287,user_08755,movie_0130,2024-07-19,Laptop,19.6,16.0,paused,Ultra HD,USA,True,0
session_000288,user_05896,movie_0929,2024-07-16,Smart TV,46.5,29.5,paused,HD,Canada,False,1
session_000289,user_03355,movie_0305,2024-11-15,Tablet,31.5,71.1,completed,SD,USA,False,1
session_000290,user_00226,movie_0676,2025-12-27,Tablet,23.1,49.8,paused,4K,Canada,False,1
session_000292,user_07023,movie_0244,2024-03-19,Smart TV,22.2,76.1,completed,4K,Canada,False,0
session_000293,user_09152,movie_0482,2024-06-26,Desktop,51.2,49.8,paused,4K,USA,False,1
session_000295,user_07997,movie_0932,2025-07-23,Tablet,13.7,30.2,started,HD,USA,False,0
session_000296,user_09008,movie_0640,2025-07-24,Desktop,107.7,56.0,paused,4K,Canada,False,1
session_000297,user_07684,movie_0024,2025-06-03,Laptop,27.8,2.5,started,Ultra HD,Canada,False,0
session_000298,user_04643,movie_0630,2025-07-02,Smart TV,48.0,46.5,stopped,4K,USA,False,0
session_000300,user_08209,movie_0174,2024-08-15,Tablet,6.2,77.1,started,HD,USA,False,0
session_000301,user_07340,movie_0536,2024-09-03,Laptop,96.9,35.7,started,HD,USA,False,0
session_000302,user_09436,movie_0277,2025-04-20,Smart TV,162.5,30.4,stopped,HD,Canada,False,1
session_000303,user_02206,movie_0541,2024-06-07,Mobile,15.9,33.1,completed,HD,USA,False,0
session_000305,user_03445,movie_0576,2024-10-03,Laptop,51.2,96.3,paused,SD,USA,False,1
session_000306,user_01061,movie_0778,2025-01-01,Smart TV,69.6,89.3,paused,HD,USA,False,1
session_000308,user_03421,movie_0395,2025-04-19,Laptop,79.0,52.9,started,HD,USA,False,0
session_000309,user_00302,movie_0102,2024-04-01,Smart TV,112.1,98.6,paused,HD,USA,True,0
session_000310,user_00607,movie_0631,2024-01-08,Desktop,43.0,86.6,paused,HD,USA,False,0
session_000311,user_03171,movie_0186,2025-05-14,Desktop,42.0,2.8,completed,HD,USA,False,0
session_000312,user_00700,movie_0262,2025-07-03,Smart TV,19.2,19.1,stopped,HD,USA,True,0
session_000313,user_05089,movie_0947,2024-07-30,Tablet,28.9,79.8,completed,SD,Canada,True,1
session_000314,user_09332,movie_0778,2024-03-16,Desktop,44.7,20.6,completed,Ultra HD,USA,False,0
session_000317,user_02976,movie_0368,2024-02-11,Smart TV,14.0,16.7,stopped,HD,USA,False,0
session_000318,user_06103,movie_0626,2024-03-01,Laptop,512.5,65.7,completed,4K,Canada,False,0
session_000319,user_01185,movie_0931,2024-11-15,Tablet,40.9,90.7,paused,4K,USA,False,0
session_000320,user_03328,movie_0623,2024-11-23,Laptop,18.7,56.3,paused,HD,Canada,False,0
session_000324,user_05855,movie_0764,2025-06-23,Desktop,26.6,46.4,started,HD,USA,False,0
session_000325,user_06710,movie_0768,2024-10-27,Tablet,20.8,95.9,started,4K,Canada,False,0
session_000327,user_05443,movie_0482,2025-03-06,Desktop,98.3,27.5,completed,Ultra HD,Canada,False,0
session_000330,user_03864,movie_0900,2024-04-23,Smart TV,15.0,10.8,completed,SD,USA,False,0
session_000334,user_03010,movie_0787,2025-03-04,Tablet,107.6,49.8,paused,HD,USA,True,0
session_000335,user_07807,movie_0651,2024-11-29,Desktop,65.2,99.0,started,4K,USA,False,0
session_000338,user_00785,movie_0847,2024-12-04,Desktop,19.2,47.5,started,HD,Canada,False,0
session_000339,user_08097,movie_0852,2024-04-23,Tablet,52.9,49.8,stopped,HD,Canada,False,0
session_000340,user_07561,movie_0957,2025-10-31,Smart TV,113.8,71.6,completed,HD,USA,True,1
session_000342,user_07207,movie_0968,2025-02-13,Laptop,15.3,17.8,paused,SD,USA,False,0
session_000343,user_05597,movie_0770,2024-10-03,Desktop,89.7,49.8,started,HD,USA,False,0
session_000345,user_02807,movie_0690,2025-04-11,Smart TV,54.4,32.1,paused,4K,USA,False,0
session_000346,user_00538,movie_0027,2025-08-10,Mobile,56.6,83.3,paused,SD,USA,False,0
session_000347,user_05987,movie_0690,2025-09-28,Mobile,60.5,65.8,paused,4K,USA,False,0
session_000348,user_01842,movie_0206,2024-06-03,Tablet,10.1,35.7,paused,SD,USA,False,1
session_000350,user_06972,movie_0611,2024-04-23,Tablet,112.2,69.4,stopped,HD,Canada,False,0
session_000351,user_05626,movie_0796,2024-03-16,Smart TV,53.1,2.3,paused,4K,USA,True,0
session_000352,user_02951,movie_0824,2024-07-17,Desktop,51.3,16.1,completed,Ultra HD,USA,False,0
session_000353,user_07993,movie_0290,2024-07-19,Laptop,79.8,85.7,paused,4K,USA,False,0
session_000355,user_02369,movie_0673,2024-07-04,Mobile,27.0,45.3,completed,4K,USA,False,1
session_000359,user_09164,movie_0929,2025-01-13,Laptop,56.8,94.4,completed,HD,USA,False,0
session_000360,user_06003,movie_0832,2025-10-23,Smart TV,90.5,49.8,started,HD,USA,False,0
session_000362,user_09359,movie_0275,2025-08-23,Smart TV,64.1,72.5,completed,4K,USA,True,0
session_000363,user_05920,movie_0396,2025-04-14,Smart TV,99.3,52.8,started,4K,Canada,True,0
session_000364,user_00854,movie_0004,2025-11-07,Desktop,84.2,24.9,paused,4K,USA,False,0
session_000365,user_04147,movie_0223,2025-11-20,Laptop,51.2,93.8,paused,4K,Canada,False,1
session_000366,user_03770,movie_0447,2024-07-23,Tablet,86.0,54.8,started,4K,USA,False,0
session_000367,user_00575,movie_0172,2024-08-02,Mobile,51.2,72.6,stopped,4K,USA,True,1
session_000368,user_01149,movie_0376,2024-07-05,Laptop,126.8,93.0,paused,HD,USA,True,0
session_000369,user_06294,movie_0119,2024-07-27,Desktop,102.4,17.2,started,SD,Canada,True,0
session_000370,user_06458,movie_0149,2024-08-31,Smart TV,26.3,79.1,started,HD,USA,True,1
session_000371,user_07510,movie_0524,2025-09-20,Mobile,95.3,90.2,stopped,4K,USA,True,0
session_000372,user_09908,movie_0199,2025-07-13,Desktop,59.5,9.9,paused,HD,USA,True,1
session_000373,user_04778,movie_0658,2025-09-05,Laptop,72.5,99.9,completed,4K,Canada,False,0
session_000374,user_03855,movie_0295,2024-05-08,Tablet,49.1,26.0,completed,HD,USA,False,0
session_000375,user_02492,movie_0843,2025-12-18,Laptop,73.8,96.1,stopped,SD,USA,False,1
session_000376,user_03125,movie_0545,2025-07-08,Mobile,51.2,87.4,started,HD,USA,False,1
session_000377,user_05692,movie_0982,2024-02-16,Mobile,68.6,75.3,started,SD,USA,False,0
session_000378,user_03052,movie_0456,2024-08-04,Smart TV,94.5,23.7,stopped,HD,USA,False,0
session_000379,user_00005,movie_0423,2025-09-19,Laptop,150.0,27.8,paused,HD,Canada,False,0
session_000381,user_05316,movie_0245,2025-05-25,Mobile,109.9,53.5,stopped,4K,USA,False,1
session_000382,user_04870,movie_0795,2025-09-15,Mobile,60.3,47.9,started,HD,USA,False,0
session_000383,user_00877,movie_0371,2025-12-28,Desktop,51.2,43.2,paused,HD,Canada,False,0
session_000384,user_09184,movie_0732,2024-02-01,Laptop,114.0,48.4,started,HD,Canada,False,0
session_000388,user_07080,movie_0778,2025-01-14,Smart TV,62.1,42.9,completed,HD,USA,False,0
session_000389,user_07988,movie_0407,2025-04-06,Smart TV,22.7,68.4,completed,HD,USA,False,1
session_000390,user_06800,movie_0801,2025-08-16,Desktop,100.6,18.3,completed,4K,USA,False,0
session_000392,user_00636,movie_0205,2024-12-24,Laptop,76.4,43.3,completed,HD,Canada,False,1
session_000393,user_01694,movie_0671,2025-11-11,Smart TV,71.8,73.2,stopped,HD,USA,False,0
session_000396,user_08312,movie_0688,2024-01-24,Desktop,51.2,49.8,paused,HD,Canada,False,0
session_000397,user_00831,movie_0439,2024-09-02,Mobile,102.1,1.4,completed,HD,Canada,False,1
session_000398,user_05178,movie_0570,2024-09-21,Smart TV,51.2,80.5,started,HD,Canada,False,0
session_000399,user_09562,movie_0765,2025-11-09,Desktop,16.0,31.3,stopped,4K,USA,False,0
session_000400,user_08933,movie_0303,2025-04-18,Desktop,51.2,23.1,paused,HD,USA,False,0
session_000401,user_08309,movie_0098,2024-03-17,Desktop,38.1,39.2,started,HD,USA,False,1
session_000405,user_07561,movie_0204,2025-05-22,Mobile,104.0,83.1,paused,HD,USA,False,0
session_000406,user_01932,movie_0389,2025-11-09,Mobile,148.3,75.8,paused,4K,USA,True,0
session_000407,user_09205,movie_0614,2024-06-20,Tablet,72.7,67.2,paused,4K,USA,False,0
session_000409,user_01082,movie_0346,2025-05-13,Tablet,44.2,15.5,stopped,HD,USA,True,0
session_000410,user_00513,movie_0915,2025-01-21,Smart TV,205.2,2.9,stopped,HD,USA,True,0
session_000412,user_05238,movie_0265,2024-08-23,Laptop,158.8,49.8,stopped,4K,USA,False,1
session_000415,user_07405,movie_0623,2025-04-22,Smart TV,39.3,0.6,paused,HD,USA,True,1
session_000416,user_03344,movie_0930,2025-11-23,Laptop,45.5,24.1,stopped,HD,USA,False,0
session_000417,user_04071,movie_0703,2024-12-28,Smart TV,38.9,24.9,started,4K,USA,False,0
session_000418,user_09663,movie_0738,2025-06-21,Laptop,73.6,25.5,paused,4K,Canada,False,0
session_000419,user_00581,movie_0733,2025-05-20,Mobile,12.7,27.0,stopped,HD,Canada,False,0
session_000420,user_07005,movie_0487,2024-07-29,Desktop,119.5,61.0,started,SD,USA,False,0
session_000421,user_08131,movie_0539,2025-10-06,Mobile,73.8,47.1,started,4K,USA,True,1
session_000422,user_03148,movie_0814,2024-08-22,Laptop,60.7,52.6,completed,HD,USA,True,0
