search_id,user_id,search_query,search_date,results_returned,device_type,search_duration_seconds,had_typo,used_filters,location_country,clicked
search_000085,user_03666,halloween movies,2025-09-25,38,Laptop,17.4,False,False,USA,0
search_000086,user_05952,comedy shows,2024-05-21,90,Tablet,24.5,False,False,USA,0
search_000087,user_07015,new releases,2025-04-06,100,Mobile,4.6,False,True,USA,0
search_000091,user_02106,animated shows,2024-09-13,55,Tablet,12.9,False,False,Canada,1
search_000092,user_07720,drama series,2024-04-29,92,Tablet,0.3,True,False,Canada,0
search_000093,user_09994,documentaries,2024-01-19,83,Smart TV,5.8,False,False,USA,1
search_000094,user_01962,horror movies,2024-07-15,36,Laptop,27.4,False,False,USA,1
search_000096,user_06616,sci-fi,2025-05-10,26,Smart TV,16.8,False,True,USA,0
search_000097,user_07475,true crime,2024-09-30,80,Laptop,35.8,True,False,USA,1
search_000099,user_04202,family movies,2024-06-10,59,Smart TV,37.0,False,False,Canada,1
search_000100,user_07105,trending now,2024-09-10,5,Laptop,38.2,False,False,USA,0
search_000101,user_01032,trending now,2025-09-29,10,Mobile,52.1,False,False,USA,0
search_000102,user_07527,korean drama,2025-05-29,21,Laptop,16.8,False,False,USA,0
search_000103,user_00459,new releases,2024-12-16,82,Mobile,12.0,False,True,USA,0
search_000105,user_07312,biographies,2024-01-25,21,Smart TV,28.9,False,False,USA,1
search_000107,user_06771,biographies,2025-08-20,80,Smart TV,10.1,True,True,USA,1
search_000108,user_09510,classic movies,2024-11-19,48,Smart TV,13.2,False,False,USA,0
search_000109,user_05752,true crime,2025-02-25,67,Laptop,43.4,False,False,USA,0
search_000112,user_04470,classic movies,2024-02-28,92,Smart TV,21.9,False,False,USA,0
search_000114,user_09298,drama series,2024-11-12,70,Smart TV,16.8,False,False,USA,1
search_000115,user_00593,war movies,2024-05-22,4,Smart TV,29.8,False,False,USA,1
search_000117,user_00754,sci-fi,2025-08-01,38,Mobile,1.4,False,False,Canada,0
search_000118,user_03644,classic movies,2025-01-10,84,Tablet,9.8,False,True,USA,0
search_000119,user_07631,thriller series,2025-12-05,47,Smart TV,79.3,False,False,Canada,1
search_000120,user_06292,war movies,2025-02-22,70,Tablet,9.5,False,False,USA,1
search_000121,user_01279,romantic comedies,2025-11-21,92,Smart TV,16.8,True,True,USA,1
search_000122,user_06171,drama series,2025-10-17,7,Tablet,16.8,False,False,Canada,0
search_000124,user_09858,drama series,2024-09-15,94,Laptop,9.1,False,False,USA,1
search_000125,user_06567,comedy shows,2024-02-09,63,Smart TV,29.1,False,True,USA,0
search_000128,user_04001,cooking shows,2025-09-04,93,Tablet,57.4,False,True,Canada,0
search_000130,user_04379,war movies,2024-04-19,83,Laptop,14.4,False,True,USA,1
search_000131,user_00432,thriller series,2025-10-12,15,Tablet,30.1,True,False,USA,0
search_000133,user_08475,documentaries,2024-09-04,67,Mobile,44.4,False,True,USA,1
search_000134,user_08396,horror movies,2024-06-01,70,Laptop,21.8,False,False,USA,0
search_000135,user_02611,sci-fi,2024-07-01,43,Mobile,22.5,False,False,USA,1
search_000136,user_08984,halloween movies,2024-07-14,55,Smart TV,24.3,False,False,USA,1
search_000140,user_04369,korean drama,2025-10-05,92,Mobile,29.4,False,False,USA,0
search_000142,user_06857,superhero movies,2025-01-11,68,Laptop,9.1,False,False,Canada,1
search_000144,user_05058,new releases,2025-06-24,59,Smart TV,21.5,True,False,Canada,1
search_000145,user_07835,comedy shows,2024-10-06,4,Mobile,18.1,False,True,USA,0
search_000147,user_09454,travel documentaries,2025-02-27,86,Mobile,16.8,False,False,USA,0
search_000149,user_02889,war movies,2024-11-10,12,Mobile,23.5,False,False,Canada,1
search_000150,user_05166,war movies,2025-05-27,64,Laptop,3.1,False,False,Canada,1
search_000151,user_06640,halloween movies,2025-03-05,73,Laptop,14.8,True,False,USA,1
search_000152,user_06325,drama series,2024-12-31,86,Laptop,27.3,False,True,Canada,0
search_000153,user_09822,sci-fi,2024-04-23,13,Smart TV,25.5,False,False,Canada,0
search_000154,user_06434,biographies,2025-11-09,56,Mobile,47.1,False,True,USA,0
search_000155,user_01036,trending now,2024-01-25,38,Laptop,19.1,False,False,Canada,0
search_000156,user_08270,movies based on true stories,2024-06-27,100,Mobile,5.0,False,True,USA,1
search_000157,user_02481,new releases,2024-10-16,63,Laptop,23.5,False,False,USA,1
search_000158,user_01172,music documentaries,2025-12-13,35,Laptop,14.9,False,False,USA,0
search_000162,user_01950,trending now,2024-02-08,86,Laptop,17.2,False,False,USA,1
search_000163,user_09605,comedy shows,2024-12-12,43,Tablet,7.5,False,False,USA,1
search_000166,user_04716,best movies 2024,2024-02-01,71,Tablet,24.9,False,True,Canada,1
search_000167,user_05757,cooking shows,2024-08-27,41,Tablet,29.3,False,False,USA,0
search_000170,user_09533,new releases,2024-08-22,8,Laptop,17.0,False,False,Canada,1
search_000172,user_07205,new releases,2025-04-07,39,Tablet,26.6,True,True,USA,1
search_000173,user_04666,drama series,2024-07-23,68,Laptop,37.2,False,False,Canada,1
search_000174,user_08710,war movies,2025-07-14,57,Mobile,10.0,False,False,USA,1
search_000175,user_07360,christmas movies,2025-09-02,67,Laptop,15.4,False,False,USA,1
search_000177,user_02412,netflix originals,2024-11-20,38,Tablet,2.7,True,False,Canada,1
search_000178,user_01626,animated shows,2025-02-08,21,Smart TV,17.6,False,False,USA,0
search_000180,user_08527,comedy shows,2025-06-07,38,Tablet,34.2,False,False,USA,0
search_000181,user_09620,animated shows,2024-03-05,68,Tablet,13.9,False,False,USA,0
search_000182,user_04129,classic movies,2024-01-08,84,Tablet,22.4,False,True,USA,0
search_000183,user_05150,christmas movies,2024-10-14,3,Tablet,13.2,False,False,Canada,1
search_000185,user_02218,cooking shows,2024-04-07,50,Mobile,5.9,False,True,Canada,1
search_000186,user_01843,cooking shows,2024-01-18,78,Smart TV,24.2,False,True,Canada,1
search_000187,user_09793,cooking shows,2025-07-17,46,Laptop,30.6,False,False,USA,1
search_000188,user_00134,sci-fi,2025-03-14,65,Tablet,21.6,False,False,Canada,0
search_000190,user_06908,stand up comedy,2025-07-12,6,Tablet,9.7,False,False,USA,1
search_000193,user_06321,documentaries,2025-07-18,32,Smart TV,24.1,True,False,USA,0
search_000194,user_09916,war movies,2025-08-07,14,Tablet,6.1,False,True,USA,0
search_000195,user_05675,korean drama,2024-08-06,59,Laptop,15.8,True,False,USA,0
search_000196,user_06983,short episodes under 30 minutes,2025-10-13,16,Tablet,5.6,False,True,USA,1
search_000198,user_09861,documentaries,2024-09-28,73,Tablet,5.1,False,False,USA,1
search_000199,user_07743,romantic comedies,2024-08-07,22,Laptop,16.4,False,False,USA,0
search_000200,user_01674,drama series,2025-03-19,88,Smart TV,35.5,False,False,USA,1
search_000201,user_07810,halloween movies,2024-11-14,25,Laptop,10.3,False,True,USA,1
search_000202,user_09822,war movies,2024-08-15,76,Mobile,7.9,False,False,USA,1
search_000203,user_04068,korean drama,2024-12-28,5,Tablet,2.4,False,False,Canada,0
search_000204,user_05872,classic movies,2024-08-05,34,Smart TV,38.6,False,False,Canada,0
search_000205,user_09204,horror movies,2024-02-06,50,Laptop,16.8,False,True,Canada,1
search_000209,user_06211,family movies,2024-02-16,56,Mobile,22.8,False,True,USA,1
search_000210,user_09484,best movies 2024,2024-02-11,70,Mobile,8.7,False,True,USA,0
search_000211,user_09559,new releases,2024-03-02,34,Smart TV,60.2,False,False,Canada,1
search_000212,user_02567,christmas movies,2024-12-21,16,Laptop,42.5,False,False,Canada,1
search_000213,user_02937,romantic comedies,2024-11-11,13,Tablet,12.9,False,False,USA,0
search_000214,user_01892,stand up comedy,2025-12-25,6,Tablet,16.8,False,True,USA,1
search_000217,user_00546,war movies,2024-09-20,50,Laptop,6.7,False,True,USA,0
search_000218,user_03667,animated shows,2024-04-21,19,Laptop,50.4,False,False,USA,0
search_000219,user_00234,korean drama,2025-06-05,97,Tablet,14.0,False,False,USA,0
search_000221,user_08034,true crime,2025-05-26,89,Tablet,19.2,False,True,Canada,0
search_000222,user_00891,romantic comedies,2024-07-30,34,Mobile,12.8,False,False,USA,1
search_000223,user_05385,superhero movies,2025-01-18,80,Mobile,12.2,False,False,Canada,1
search_000224,user_00130,cooking shows,2024-02-12,48,Laptop,35.8,False,False,Canada,1
search_000225,user_02800,action movies,2025-12-14,66,Tablet,16.8,True,True,USA,1
search_000226,user_08308,christmas movies,2025-11-04,69,Laptop,21.5,False,False,USA,1
search_000227,user_04510,classic movies,2024-08-17,95,Smart TV,9.4,False,False,USA,0
search_000228,user_01994,romantic comedies,2025-05-03,5,Mobile,16.8,False,False,USA,0
search_000229,user_04776,trending now,2025-09-14,8,Tablet,42.3,False,True,USA,0
search_000230,user_07657,true crime,2025-01-17,79,Mobile,16.9,False,True,USA,0
search_000231,user_04903,netflix originals,2024-11-02,49,Mobile,14.7,False,False,USA,0
search_000233,user_06430,action movies,2025-08-03,57,Smart TV,13.8,True,False,USA,1
search_000234,user_09136,trending now,2024-03-27,91,Tablet,1.0,False,True,USA,1
search_000235,user_08797,classic movies,2024-09-22,0,Tablet,7.6,False,True,Canada,1
search_000236,user_03495,netflix originals,2025-10-29,59,Tablet,6.6,False,False,USA,0
search_000238,user_04054,halloween movies,2025-03-14,86,Tablet,3.7,False,True,Canada,1
search_000239,user_07707,cooking shows,2024-01-25,66,Laptop,38.0,True,False,Canada,0
search_000241,user_01481,sci-fi,2024-01-25,71,Laptop,5.3,False,False,USA,1
search_000242,user_03664,music documentaries,2024-02-15,92,Mobile,11.6,False,True,USA,0
search_000244,user_07023,best movies 2024,2024-09-11,48,Mobile,19.7,False,False,USA,0
search_000245,user_00301,documentaries,2024-03-11,68,Smart TV,14.4,False,True,Canada,1
search_000246,user_09661,drama series,2025-01-30,24,Mobile,2.2,False,False,USA,0
search_000247,user_01610,movies like stranger things,2025-11-03,85,Mobile,29.3,False,False,Canada,0
search_000248,user_03239,classic movies,2025-09-07,79,Laptop,12.8,False,False,USA,0
search_000249,user_08766,netflix originals,2025-07-25,33,Smart TV,30.7,False,True,USA,0
search_000250,user_08226,thriller series,2025-04-28,56,Laptop,17.5,True,True,USA,1
search_000251,user_05389,shows with strong female leads,2024-05-24,40,Laptop,6.9,False,False,USA,0
search_000253,user_00053,classic movies,2025-12-24,85,Tablet,18.6,False,False,USA,1
search_000254,user_01886,netflix originals,2025-04-05,51,Laptop,25.5,False,True,USA,0
search_000255,user_05782,korean drama,2024-08-29,20,Tablet,11.1,True,False,USA,1
search_000257,user_01655,new releases,2025-12-24,50,Smart TV,30.6,False,False,Canada,0
search_000259,user_04427,shows with strong female leads,2024-06-07,68,Smart TV,18.6,False,False,USA,1
search_000260,user_01834,thriller series,2025-08-17,22,Tablet,15.6,False,False,Canada,0
search_000261,user_03222,new releases,2024-07-14,96,Laptop,16.8,False,False,USA,0
search_000262,user_02962,thriller series,2025-11-01,29,Tablet,8.1,False,True,Canada,1
search_000264,user_09240,classic movies,2024-08-09,18,Tablet,17.3,False,False,Canada,1
search_000265,user_07623,travel documentaries,2025-10-31,32,Smart TV,3.6,False,False,USA,1
search_000266,user_08748,cooking shows,2025-07-07,8,Laptop,18.0,False,False,USA,1
search_000267,user_00957,true crime,2025-01-05,62,Laptop,16.8,False,False,USA,1
search_000268,user_01862,new releases,2024-02-28,60,Laptop,6.5,True,False,USA,0
search_000271,user_09924,horror movies,2025-11-03,43,Laptop,4.7,False,False,USA,1
search_000272,user_04926,travel documentaries,2024-01-02,99,Smart TV,7.8,False,False,USA,1
search_000274,user_06540,animated shows,2025-09-28,65,Mobile,55.3,False,False,USA,0
search_000275,user_02864,korean drama,2025-06-05,86,Tablet,45.2,True,False,USA,0
search_000280,user_04848,comedy shows,2024-11-08,41,Tablet,54.0,False,False,USA,0
search_000282,user_04911,classic movies,2025-12-26,7,Smart TV,13.6,False,True,USA,0
search_000283,user_08470,cooking shows,2024-09-12,77,Mobile,2.3,False,False,USA,0
search_000284,user_08972,comedy shows,2024-09-29,94,Tablet,5.2,False,False,USA,0
search_000286,user_03621,true crime,2024-09-16,87,Laptop,22.3,False,False,USA,1
search_000287,user_02218,family movies,2024-10-31,32,Tablet,19.6,False,False,USA,0
search_000290,user_00135,travel documentaries,2024-05-06,36,Tablet,17.4,False,False,USA,0
search_000293,user_04160,movies like stranger things,2025-08-08,33,Mobile,2.6,False,False,Canada,0
search_000294,user_03234,travel documentaries,2024-02-27,76,Mobile,16.8,False,False,Canada,0
search_000297,user_07273,travel documentaries,2025-04-01,100,Laptop,6.4,False,True,USA,1
search_000298,user_01698,animated shows,2025-05-23,72,Mobile,14.2,False,True,USA,1
search_000299,user_03908,animated shows,2024-12-22,63,Smart TV,7.8,True,True,USA,0
search_000300,user_00486,documentaries,2025-10-10,26,Tablet,8.1,False,False,USA,1
search_000301,user_08132,thriller series,2024-03-23,99,Smart TV,33.2,True,False,USA,1
search_000304,user_06469,netflix originals,2025-09-19,100,Mobile,27.7,False,False,USA,1
search_000306,user_07858,true crime,2024-01-09,96,Laptop,6.0,False,False,USA,1
search_000308,user_00045,trending now,2025-03-28,80,Mobile,3.9,False,False,USA,0
search_000311,user_02293,war movies,2024-09-03,35,Mobile,22.2,False,True,USA,1
search_000312,user_08793,cooking shows,2024-05-24,28,Tablet,10.4,False,False,USA,1
search_000313,user_09123,stand up comedy,2025-02-06,52,Smart TV,33.6,False,False,USA,1
search_000314,user_06435,travel documentaries,2025-05-14,3,Tablet,16.6,False,False,Canada,1
search_000316,user_00073,animated shows,2025-03-03,2,Tablet,19.4,False,False,USA,1
search_000318,user_06041,war movies,2024-11-23,68,Smart TV,19.7,False,False,USA,0
search_000320,user_00516,biographies,2025-01-23,97,Tablet,20.0,False,True,Canada,1
search_000321,user_05296,romantic comedies,2025-06-30,98,Tablet,28.0,False,True,USA,1
search_000322,user_00767,comedy shows,2025-01-16,96,Laptop,28.2,False,False,USA,0
search_000326,user_05818,stand up comedy,2025-08-03,70,Mobile,3.3,False,False,Canada,1
search_000328,user_02933,travel documentaries,2025-11-12,34,Smart TV,7.6,True,True,Canada,1
search_000332,user_08018,christmas movies,2025-01-17,14,Tablet,16.8,True,False,Canada,0
search_000334,user_01296,biographies,2024-03-20,67,Smart TV,2.7,False,False,USA,1
search_000335,user_09315,drama series,2025-03-24,21,Mobile,3.1,True,False,Canada,1
search_000336,user_02876,movies based on true stories,2025-06-15,87,Tablet,5.8,False,True,USA,0
search_000337,user_05908,romantic comedies,2024-05-23,68,Tablet,20.9,False,False,USA,1
search_000338,user_02857,christmas movies,2024-11-17,37,Laptop,29.4,False,True,Canada,0
search_000339,user_01003,movies based on true stories,2025-04-08,0,Mobile,14.4,True,True,Canada,1
search_000340,user_09972,true crime,2024-04-30,81,Smart TV,21.3,False,False,USA,1
search_000341,user_01507,sci-fi,2024-10-10,85,Laptop,2.4,False,True,Canada,1
search_000342,user_07429,family movies,2025-05-15,59,Laptop,10.1,False,True,USA,1
search_000343,user_07951,trending now,2025-04-19,12,Smart TV,11.8,False,False,USA,0
search_000344,user_05238,biographies,2024-12-13,26,Smart TV,24.2,True,False,USA,0
search_000345,user_06152,family movies,2025-06-24,78,Tablet,16.8,False,False,USA,1
search_000348,user_08386,comedy shows,2025-07-08,39,Smart TV,52.9,False,False,USA,1
search_000352,user_08832,classic movies,2025-07-08,55,Laptop,23.8,False,False,Canada,0
search_000353,user_07889,true crime,2024-06-28,96,Smart TV,8.7,False,False,Canada,0
search_000356,user_00448,korean drama,2024-12-10,21,Laptop,16.8,False,True,USA,0
search_000357,user_05704,halloween movies,2025-09-16,67,Smart TV,23.7,True,True,USA,0
search_000359,user_06229,classic movies,2024-10-09,68,Laptop,16.8,True,False,Canada,1
search_000361,user_03886,family movies,2024-10-31,71,Laptop,18.5,True,False,USA,1
search_000363,user_08856,movies based on true stories,2024-12-29,54,Smart TV,7.2,False,False,USA,1
search_000364,user_04128,new releases,2024-03-28,57,Smart TV,5.5,False,False,USA,0
search_000365,user_02217,travel documentaries,2024-08-18,41,Smart TV,4.2,False,False,USA,1
search_000366,user_06425,documentaries,2024-08-14,18,Smart TV,16.4,False,False,USA,0
search_000369,user_07684,new releases,2024-09-29,17,Smart TV,20.0,False,False,USA,1
search_000370,user_05747,superhero movies,2024-10-29,40,Laptop,19.2,False,True,Canada,1
search_000371,user_00026,netflix originals,2024-12-08,7,Smart TV,7.8,True,True,USA,0
search_000372,user_07185,christmas movies,2025-12-12,18,Smart TV,16.9,False,False,USA,0
search_000376,user_08288,award winning documentaries,2024-10-07,35,Laptop,11.0,False,False,Canada,0
search_000379,user_05758,animated shows,2025-09-13,100,Smart TV,6.0,False,True,USA,0
search_000380,user_00687,romantic comedies,2025-09-20,88,Laptop,21.9,False,False,USA,0
search_000381,user_04101,thriller series,2024-08-25,53,Laptop,27.6,False,False,Canada,1
search_000383,user_07926,trending now,2024-07-03,2,Smart TV,2.5,False,False,USA,1
search_000385,user_06315,christmas movies,2025-05-05,12,Laptop,60.3,False,False,USA,1
search_000387,user_02412,movies like stranger things,2025-07-11,19,Tablet,14.0,False,False,Canada,0
search_000389,user_09983,superhero movies,2025-08-31,68,Smart TV,1.8,True,False,USA,0
search_000390,user_07182,true crime,2025-04-29,38,Tablet,22.0,False,True,USA,1
search_000392,user_08018,travel documentaries,2025-12-15,35,Mobile,6.2,False,False,USA,1
search_000393,user_05677,christmas movies,2024-09-25,82,Tablet,3.1,False,False,USA,1
search_000394,user_06069,series with only one season,2025-11-05,61,Smart TV,27.6,False,True,Canada,1
search_000397,user_08681,biographies,2025-06-03,72,Mobile,16.2,False,False,Canada,1
search_000398,user_02281,superhero movies,2024-09-15,97,Smart TV,34.1,False,False,USA,0
search_000400,user_02974,movies based on true stories,2025-04-20,72,Mobile,11.2,False,False,USA,1
search_000401,user_02969,classic movies,2024-02-16,11,Mobile,7.1,False,False,USA,0
search_000405,user_06714,thriller series,2024-11-30,91,Mobile,8.2,False,False,USA,1
search_000406,user_02799,true crime,2024-09-26,10,Smart TV,106.8,False,True,Canada,1
search_000407,user_07057,trending now,2024-05-05,42,Laptop,5.6,False,False,Canada,0
search_000408,user_09942,best movies 2024,2024-11-05,24,Smart TV,13.1,False,False,USA,0
search_000409,user_09320,thriller series,2025-08-12,96,Mobile,3.7,False,False,USA,0
search_000410,user_06487,new releases,2025-11-13,83,Mobile,12.9,False,True,USA,1
search_000411,user_03425,christmas movies,2025-10-05,61,Tablet,16.8,False,True,USA,1
search_000412,user_05487,shows with strong female leads,2024-07-12,26,Mobile,51.7,True,False,Canada,0
search_000413,user_05805,horror movies,2025-09-02,95,Smart TV,4.1,False,True,USA,0
search_000418,user_04622,romantic comedies,2025-11-02,11,Mobile,25.3,True,True,Canada,1
search_000419,user_08676,comedy shows,2025-08-19,25,Tablet,15.7,False,False,Canada,1
search_000420,user_04644,action movies,2025-03-31,47,Tablet,4.5,True,False,Canada,1
search_000421,user_07087,classic movies,2024-06-12,5,Smart TV,9.3,False,False,USA,0
search_000422,user_04355,new releases,2025-10-13,81,Tablet,16.8,False,False,Canada,1
search_000423,user_08944,true crime,2024-02-06,6,Mobile,8.7,False,False,USA,0
search_000424,user_00433,classic movies,2024-10-22,79,Smart TV,3.2,False,True,USA,0
search_000425,user_04648,biographies,2025-12-17,22,Tablet,16.8,True,False,USA,1
search_000426,user_01172,action movies,2025-12-26,91,Mobile,23.0,False,False,USA,1
search_000427,user_09571,new releases,2024-02-12,69,Smart TV,42.6,False,True,USA,0
search_000428,user_02335,halloween movies,2024-08-30,81,Laptop,18.8,False,True,USA,1
search_000429,user_04366,action movies,2025-04-12,55,Mobile,29.7,False,False,USA,0
search_000431,user_06328,animated shows,2024-07-27,56,Smart TV,35.4,False,False,USA,0
search_000432,user_05754,superhero movies,2025-05-17,70,Tablet,11.6,False,False,USA,0
search_000433,user_08243,drama series,2025-03-21,21,Tablet,14.2,False,False,USA,1
search_000434,user_07824,stand up comedy,2024-12-30,51,Smart TV,10.4,False,False,USA,1
search_000435,user_08138,short episodes under 30 minutes,2024-04-01,57,Laptop,15.1,False,False,USA,0
search_000439,user_06979,horror movies,2024-02-10,48,Tablet,20.0,False,False,USA,1
search_000440,user_03786,documentaries,2024-08-30,39,Smart TV,26.2,False,True,USA,0
search_000441,user_08741,documentaries,2024-01-17,46,Tablet,24.3,False,True,USA,1
search_000442,user_07364,romantic comedies,2025-07-17,24,Mobile,8.6,False,False,USA,0
search_000443,user_09775,true crime,2025-04-20,12,Laptop,22.1,True,False,USA,0
search_000444,user_03318,animated shows,2024-07-04,45,Smart TV,31.7,False,False,USA,1
search_000449,user_06110,comedy shows,2025-04-08,6,Mobile,1.4,False,True,USA,0
search_000450,user_08108,documentaries,2025-08-18,78,Laptop,33.7,False,True,USA,0
search_000451,user_01020,travel documentaries,2025-08-20,67,Tablet,30.7,True,False,USA,0
search_000452,user_06001,thriller series,2025-03-30,64,Tablet,41.4,True,False,Canada,0
search_000453,user_01985,shows with strong female leads,2025-02-26,45,Tablet,48.7,False,False,USA,1
search_000454,user_03501,documentaries,2025-12-11,50,Tablet,5.9,False,True,Canada,1
search_000455,user_00407,movies based on true stories,2024-02-17,88,Laptop,61.8,False,False,Canada,1
search_000457,user_09608,classic movies,2025-09-25,86,Tablet,44.3,False,False,USA,1
search_000458,user_00652,sci-fi,2025-04-08,40,Tablet,16.4,False,True,Canada,1
search_000459,user_09225,horror movies,2024-10-17,55,Mobile,32.0,False,False,USA,1
search_000460,user_01972,new releases,2024-03-27,20,Laptop,19.6,False,False,USA,0
search_000461,user_08051,drama series,2025-06-07,95,Laptop,14.5,False,False,Canada,1
search_000462,user_06200,sci-fi,2025-07-13,89,Mobile,28.1,False,False,USA,0
search_000464,user_06872,sci-fi,2024-02-23,7,Mobile,17.6,True,True,Canada,0
search_000467,user_09690,animated shows,2024-06-12,41,Smart TV,8.5,False,False,Canada,0
search_000469,user_04125,war movies,2025-03-21,80,Mobile,20.2,False,False,Canada,1
search_000470,user_08047,shows with strong female leads,2024-08-29,46,Smart TV,12.5,False,False,USA,1
search_000471,user_09334,animated shows,2024-04-05,58,Laptop,3.4,False,False,USA,1
search_000472,user_06663,classic movies,2025-03-24,57,Smart TV,38.2,False,False,USA,0
search_000473,user_06466,trending now,2025-02-14,63,Smart TV,16.8,False,False,Canada,0
search_000474,user_06545,shows with strong female leads,2025-10-02,59,Laptop,21.0,False,False,USA,1
search_000475,user_03570,korean drama,2024-07-19,64,Mobile,6.2,True,True,USA,0
search_000476,user_07185,classic movies,2024-04-05,55,Smart TV,23.4,False,False,USA,1
search_000477,user_00370,thriller series,2024-12-07,86,Laptop,41.6,False,False,USA,0
search_000478,user_04482,animated shows,2024-04-17,78,Tablet,33.1,False,False,USA,0
search_000480,user_07826,stand up comedy,2025-09-23,57,Mobile,26.2,False,False,Canada,1
search_000481,user_06570,animated shows,2025-06-20,70,Smart TV,2.2,False,False,Canada,0
search_000482,user_08656,series with only one season,2025-11-03,56,Mobile,15.3,False,True,USA,1
search_000483,user_09972,biographies,2025-06-13,28,Smart TV,23.3,False,False,Canada,1
search_000484,user_02721,stand up comedy,2025-04-23,58,Smart TV,19.6,False,False,USA,0
search_000485,user_05854,animated shows,2024-05-06,60,Mobile,15.6,True,False,USA,0
search_000487,user_07566,new releases,2024-04-06,24,Smart TV,13.8,False,False,Canada,1
search_000489,user_04416,christmas movies,2025-03-25,40,Smart TV,7.9,True,False,USA,0
search_000490,user_08083,biographies,2025-07-19,76,Mobile,16.8,False,False,USA,1
search_000491,user_09576,horror movies,2024-12-20,64,Tablet,16.8,True,False,USA,0
